Rank,StrategyName,SignalType,ATRPeriod,StopMultiplier,TargetMultiplier,TotalTrades,WinningTrades,LosingTrades,WinRate,TotalProfit,TotalLoss,NetProfit,ProfitFactor,AvgWin,AvgLoss,AvgWinLossRatio,SystemScore
13,Fixed_ATR_Symmetric,Short,50,3.5,3.5,60013,29454,30239,0.4907936613733691,9920528.918501953,10289159.630654188,-368630.7121522352,0.9641729037759328,336.8143178686071,340.2612398113095,0.9898697778665183,-355423.74415681063
14,Fixed_ATR_Symmetric,Short,14,2.5,2.5,60081,29529,30359,0.4914864932341339,9493826.907205515,9901293.31003166,-407466.4028261459,0.9588471535922167,321.5085816385761,326.14029810045326,0.9857983926277931,-390698.00053430954
15,Fixed_ATR_Symmetric,Short,30,3.0,3.0,60033,29484,30299,0.49112987856678825,9589438.797056854,10018079.094790641,-428640.29773378524,0.9572133246625415,325.2421244423027,330.6405853259395,0.9836727216100374,-410300.2044780982
16,Fixed_ATR_Symmetric,Short,20,3.0,3.0,60058,29494,30301,0.49109194445369475,10074743.83651629,10535480.04345646,-460736.20694016956,0.9562681334842137,341.58621538334205,347.69413694123824,0.9824330613923223,-440587.35263927234
17,Fixed_ATR_Symmetric,Short,30,3.5,3.5,60033,29459,30250,0.49071344094081587,10399570.082745984,10909948.456005756,-510378.37325977284,0.9532189931677618,353.01843520642194,360.65945309109935,0.9788137595751654,-486502.3590932808
18,Fixed_ATR_Symmetric,Short,14,3.0,3.0,60081,29505,30295,0.49108703250611674,10463504.05361751,10975773.391219797,-512269.3376022873,0.9533272673056384,354.6349450471957,362.29653049083333,0.9788527220140423,-488360.3277408581
19,Fixed_ATR_Symmetric,Short,50,4.0,4.0,60013,29359,30278,0.48921067102127874,10551367.137084141,11065534.65449602,-514167.51741187944,0.9535343267663106,359.3912305284288,365.4645172896499,0.9833820070789316,-490276.37756044173
20,Fixed_ATR_Symmetric,Short,20,3.5,3.5,60058,29409,30305,0.48967664590895466,10812559.360200368,11404246.176826134,-591686.8166257674,0.9481169726212946,367.6615784351854,376.3156633171468,0.9770031233734005,-560988.3133191536
21,Fixed_ATR_Symmetric,Short,14,3.5,3.5,60081,29439,30292,0.4899885155040695,11138762.013186935,11801103.041266644,-662341.0280797086,0.9438746508895309,378.36754010621746,389.57820682908505,0.9712235784077473,-625166.906648548
22,Fixed_ATR_Symmetric,Short,30,4.0,4.0,60033,29322,30321,0.4884313627504872,10966156.535221826,11644118.599517014,-677962.0642951885,0.9417764377354153,373.9907419419489,384.02818507031475,0.9738627436251117,-638488.6978316712
23,Fixed_ATR_Symmetric,Short,50,4.5,4.5,60013,29303,30303,0.4882775398663623,11022500.871780697,11702882.88055877,-680382.0087780736,0.9418620167592767,376.1560547309387,386.1955212539607,0.9740041870749193,-640825.9709544443
24,Fixed_ATR_Symmetric,Short,20,4.0,4.0,60058,29350,30310,0.4886942622131939,11318324.424885236,12081723.742881067,-763399.3179958293,0.9368137085202225,385.632859450945,398.60520431808203,0.967455656056148,-715162.9461734814
25,Fixed_ATR_Symmetric,Short,50,5.0,5.0,60013,29209,30359,0.4867112125706097,11400554.33846198,12206173.485798884,-805619.1473369047,0.9339990416919609,390.3096421809025,402.06111814614724,0.9707719164204951,-752447.5115813636
26,Fixed_ATR_Symmetric,Short,30,4.5,4.5,60033,29275,30334,0.48764846001365914,11403466.192733603,12212387.683224613,-808921.4904910096,0.933762216572753,389.5291611523007,402.5973390658869,0.9675403271568878,-755340.3239942202
27,Fixed_ATR_Symmetric,Short,20,4.5,4.5,60058,29252,30364,0.4870625062439642,11713078.260083135,12592778.457432996,-879700.1973498599,0.9301424860031099,400.419740875261,414.7272578524897,0.9655013826404495,-818246.528500425
28,Fixed_ATR_Symmetric,Short,30,5.0,5.0,60033,29225,30337,0.4868155847617144,11762675.447816806,12655219.70426141,-892544.2564446037,0.9294722432875617,402.486756127179,417.1546199117055,0.9648383043495213,-829595.1122709946
29,Fixed_ATR_Symmetric,Short,14,4.0,4.0,60081,29275,30393,0.48725886719595213,11526527.508848589,12463669.086459571,-937141.5776109841,0.9248101364766588,393.73279278731303,410.0835418175097,0.96012824860581,-866678.0302883656
30,Fixed_ATR_Symmetric,Short,20,5.0,5.0,60058,29185,30396,0.4859469179792867,11965807.652114019,13000319.416347064,-1034511.7642330454,0.9204241272001199,409.9985489845475,427.69836216433293,0.9586161305593573,-952189.587672457
31,Fixed_ATR_Symmetric,Short,14,4.5,4.5,60081,29216,30418,0.4862768595729099,11837632.794645129,12950809.012918962,-1113176.2182738336,0.9140458161985561,405.1763689295293,425.7613588309212,0.9516513430013581,-1017494.0650049283
32,Fixed_ATR_Symmetric,Short,14,5.0,5.0,60081,29185,30416,0.4857608894658877,12133341.18230154,13300040.865330137,-1166699.6830285972,0.9122784888526253,415.73894748334897,437.2712015166405,0.9507576671900445,-1064355.0237781655
