Symbol,TotalTrades,StartingEquity,FinalEquity,TotalProfit,PctGain,MaxEquity,MinEquity,MaxDrawdownPct
CSIQ,120,100000.0,156420.7297454725,56420.72974547249,56.420729745472485,156420.7297454725,99894.36689331566,-36.137385974439844
CSX,113,100000.0,119452.70226410127,19452.702264101274,19.452702264101273,119452.70226410127,99952.80686318368,-16.324365235208106
CTAS,172,100000.0,120826.3232166941,20826.3232166941,20.8263232166941,122139.21042925643,100102.51622703325,-18.042276615982328
CTRA,160,100000.0,131825.0665288213,31825.066528821306,31.825066528821306,131861.15799029483,99692.24561199607,-24.396048744442574
CTSH,210,100000.0,152526.858196883,52526.858196883,52.526858196883,152547.63532370716,99920.37968317828,-34.49889965770592
CTVA,202,100000.0,134036.17464658283,34036.17464658283,34.036174646582836,134036.17464658283,99911.06652156169,-25.459625519006217
CVS,105,100000.0,120430.53993642816,20430.539936428162,20.430539936428165,120430.53993642816,100356.397180141,-16.668647974910463
CVX,209,100000.0,133417.0709181263,33417.070918126294,33.4170709181263,133691.68462685763,100007.27018548697,-25.19559427752452
D,205,100000.0,129444.60491789402,29444.604917894016,29.44460491789402,130161.5824686496,99519.89575757162,-23.54126780723357
DAL,137,100000.0,129299.89132859756,29299.891328597558,29.29989132859756,129299.89132859756,99161.73093295515,-23.30872832603586
DASH,131,100000.0,137297.26272128118,37297.26272128118,37.29726272128118,137297.26272128118,100313.44903302086,-26.937036438475037
DAY,97,100000.0,121019.50159255635,21019.50159255635,21.01950159255635,121087.68410269606,100753.83366408083,-16.792666066162294
DD,115,100000.0,126979.30337055892,26979.30337055892,26.97930337055892,127138.45646502146,100157.16923317216,-21.221971685075818
DDOG,116,100000.0,130859.7638904316,30859.763890431597,30.859763890431598,132204.95977970486,100604.64973119381,-23.902514777938077
DE,135,100000.0,122401.91046154097,22401.910461540974,22.401910461540975,122401.91046154097,100169.61531487814,-18.163356325756272
DECK,180,100000.0,152183.35508219554,52183.35508219554,52.18335508219555,152183.35508219554,100019.59737460814,-34.27691397617913
DELL,148,100000.0,149947.13350331577,49947.13350331577,49.94713350331577,150906.72917460665,100571.39216955187,-33.35526340035789
DG,237,100000.0,147047.01594262445,47047.01594262445,47.04701594262445,147047.01594262445,98682.99549846625,-32.89017470645519
DGX,95,100000.0,114198.59523462852,14198.59523462852,14.19859523462852,114360.97688476378,99869.19832247168,-12.671961150607153
DHI,174,100000.0,153129.27869805731,53129.278698057315,53.12927869805731,153129.27869805731,102484.75240865555,-33.07305220790821
DHR,201,100000.0,149858.16406291255,49858.16406291255,49.85816406291255,149858.16406291255,99867.72841172601,-33.358499994835014
DIA,116,100000.0,117465.74746136667,17465.74746136667,17.46574746136667,117465.74746136667,99834.77245901283,-15.009460530741093
DIS,181,100000.0,130572.18249981808,30572.182499818082,30.57218249981808,131050.942186364,99706.00497928524,-23.918131899047303
DLR,177,100000.0,141839.97225583516,41839.972255835164,41.839972255835164,142094.45719869545,100129.53184065134,-29.53311915563543
DLTR,171,100000.0,141624.0486586445,41624.04865864449,41.62404865864449,143456.61215609353,100176.1169320583,-30.169745802265428
DOC,133,100000.0,123871.72981146196,23871.729811461963,23.87172981146196,124305.97126023269,101111.72076026551,-18.658999454990273
DOV,113,100000.0,118441.73412030694,18441.734120306937,18.441734120306936,119836.11713966688,100287.58541533205,-16.31272123207343
DOW,290,100000.0,192278.44023528206,92278.44023528206,92.27844023528206,192278.44023528206,99946.69601392657,-48.019811325894615
DPZ,66,100000.0,110723.98947439448,10723.989474394475,10.723989474394475,110723.98947439448,100190.9281912908,-9.512898996056766
