Rank,StrategyName,SignalType,ATRPeriod,StopMultiplier,TargetMultiplier,TotalTrades,WinningTrades,LosingTrades,WinRate,TotalProfit,TotalLoss,NetProfit,ProfitFactor,AvgWin,AvgLoss,AvgWinLossRatio,SystemScore
24,Fixed_ATR_Asymmetric,Short,30,2.0,3.0,60033,24954,34918,0.4156713807405927,8359763.194857009,8358693.132994495,1070.061862513292,1.0001280178426804,335.00694056491983,239.38063843847,1.3994738369412005,1070.1988495244655
25,Fixed_ATR_Asymmetric,Short,50,2.5,4.0,60013,24807,34947,0.4133604385716428,9174522.26799028,9275571.860702105,-101049.59271182654,0.9891058368983219,369.8360248313089,265.41825795353265,1.3934083799768473,-99948.74196746576
26,Fixed_ATR_Asymmetric,Short,20,2.0,6.0,60058,20821,38988,0.34668154117686234,9584802.444359679,9686978.78684283,-102176.34248315054,0.9894521971471714,460.3430404091868,248.4605208485388,1.8527814352035883,-101098.60656641517
27,Fixed_ATR_Asymmetric,Short,20,2.0,3.0,60058,24981,34909,0.41594791701355355,8821502.42774865,8933406.189485524,-111903.76173687393,0.987473561666928,353.1284747507566,255.90553122362496,1.3799173197322283,-110502.00616623819
28,Fixed_ATR_Asymmetric,Short,20,2.0,4.0,60058,22615,37225,0.3765526657564354,9259542.909396213,9379072.94839985,-119530.03900363465,0.987255665921222,409.44253413204564,251.95629142779984,1.625053821088547,-118006.70825412298
29,Fixed_ATR_Asymmetric,Short,50,2.5,3.0,60013,27531,32278,0.45875060403579226,8552092.829562925,8685145.282613613,-133052.4530506885,0.9846804574107656,310.6350234122598,269.07321651321683,1.1544628166178013,-131014.15032957635
30,Fixed_ATR_Asymmetric,Short,50,2.5,6.0,60013,22447,37264,0.3740356256144502,9630047.002541646,9766432.458087368,-136385.45554572155,0.9860352840066197,429.01265213799826,262.0876035339032,1.6369055474327383,-134480.87139339774
31,Fixed_ATR_Asymmetric,Short,14,2.0,3.0,60081,25177,34721,0.4190509478870192,9252600.048866857,9392362.801258497,-139762.75239164275,0.985119532182795,367.5020871774579,270.5095706131303,1.3585548427898013,-137683.01725263492
32,Fixed_ATR_Asymmetric,Short,50,2.5,5.0,60013,23268,36460,0.38771599486777863,9456777.493796466,9599253.631690359,-142476.13789389186,0.9851575816870249,406.42846371825965,263.28177815936255,1.5437014538554639,-140361.4474556536
33,Fixed_ATR_Asymmetric,Short,20,2.0,5.0,60058,21384,38433,0.3560558127143761,9443984.742782122,9593316.807582173,-149332.06480004964,0.984433739884205,441.6378948177199,249.61144869206603,1.7693014368205038,-147007.52303574333
34,Fixed_ATR_Asymmetric,Short,30,2.5,6.0,60033,22898,36824,0.381423550380624,10123418.08546119,10297412.377973294,-173994.29251210406,0.9831031053117493,442.10927091716263,279.6386155217601,1.5810022163507669,-171054.32927517034
35,Fixed_ATR_Asymmetric,Short,14,2.0,6.0,60081,21269,38557,0.3540054260082222,9913954.040711887,10091493.762292007,-177539.72158011937,0.9824069928831035,466.1222455551219,261.72922588095565,1.7809331150779926,-174416.2639948285
36,Fixed_ATR_Asymmetric,Short,30,2.5,5.0,60033,23585,36144,0.39286725634234504,9948324.416298509,10150279.194200004,-201954.7779014922,0.9801035248353667,421.80726802198467,280.82888430168225,1.502008132357409,-197936.58967859612
37,Fixed_ATR_Asymmetric,Short,30,2.5,3.0,60033,27557,32263,0.4590308663568371,9084416.913868712,9302821.993939707,-218405.0800709951,0.9765227067428277,329.6591397419426,288.3433652772435,1.1432867179897614,-213277.51995731218
38,Fixed_ATR_Asymmetric,Short,30,2.5,4.0,60033,24941,34820,0.415454833175087,9650822.959565826,9872959.215553638,-222136.25598781364,0.977500539489937,386.946111205077,283.54276897052375,1.3646834042355802,-217138.31006836257
39,Fixed_ATR_Asymmetric,Short,14,2.0,4.0,60081,22887,36966,0.3809357367553802,9599766.626570582,9823204.873243367,-223438.2466727843,0.9772540378057888,419.4418939385058,265.73621363532345,1.5784145043705506,-218355.92876122432
40,Fixed_ATR_Asymmetric,Short,14,2.0,5.0,60081,21773,38060,0.36239410129658295,9780450.375476941,10011339.821097035,-230889.44562009245,0.9769372082312562,449.2008623284316,263.04098321326944,1.7077219558756997,-225564.49041415556
41,Fixed_ATR_Asymmetric,Short,50,3.0,4.0,60013,26790,32924,0.44640327928948725,9766870.888390854,10034639.098951735,-267768.2105608786,0.9733156112621077,364.571515057516,304.7818946346657,1.1961718247552684,-260622.97953862234
42,Fixed_ATR_Asymmetric,Short,50,3.0,3.0,60013,29540,30235,0.49222668421841936,9070728.385154832,9363278.79264201,-292550.40748717845,0.9687555594609578,307.065957520475,309.6834394788163,0.9915478788186208,-283409.83367577277
43,Fixed_ATR_Asymmetric,Short,50,3.0,5.0,60013,25248,34438,0.4207088464166097,10102036.285526268,10401477.193450913,-299440.907924646,0.9712116940358065,400.11233703763736,302.0348798841661,1.3247222876744735,-290820.5114491154
44,Fixed_ATR_Asymmetric,Short,50,3.0,6.0,60013,24407,35261,0.4066952160365254,10294411.443907712,10596751.517547036,-302340.0736393244,0.971468607795636,421.78110558068227,300.52328401199725,1.4034889408563906,-293713.89041922457
45,Fixed_ATR_Asymmetric,Short,20,2.5,3.0,60058,27576,32260,0.4591561490559126,9558442.96667586,9872068.041950434,-313625.0752745741,0.9682310662829862,346.62180761081595,306.01574835556215,1.1326927109910476,-303661.5410461827
46,Fixed_ATR_Asymmetric,Short,20,2.5,6.0,60058,23280,36460,0.3876252955476373,10444075.725356568,10770201.69343042,-326125.9680738534,0.9697196043902518,448.6286823606773,295.3977425515749,1.518727524745214,-316250.744741965
47,Fixed_ATR_Asymmetric,Short,20,2.5,4.0,60058,25149,34628,0.4187452129608046,10059534.946817264,10397857.630017843,-338322.6832005786,0.9674622700907284,399.9974132894852,300.27312088534836,1.3321119523122886,-327314.4311124181
48,Fixed_ATR_Asymmetric,Short,14,2.5,3.0,60081,27688,32157,0.4608445265558163,9978534.755396832,10323411.181018665,-344876.4256218362,0.9665927841510423,360.3920382619486,321.03153842145304,1.1226063334276608,-333355.0644298705
49,Fixed_ATR_Asymmetric,Short,14,2.5,6.0,60081,23708,36046,0.39460062249296785,10763023.596182134,11140191.679247309,-377168.08306517627,0.9661434835301992,453.9827735862213,309.05486542882176,1.4689390925986823,-364398.48564899695
50,Fixed_ATR_Asymmetric,Short,20,2.5,5.0,60058,23866,35882,0.39738253022078657,10273168.505256252,10656871.483116088,-383702.977859835,0.9639947822897419,430.45204497009354,296.99770032651713,1.4493447070359726,-369887.6686059173
51,Fixed_ATR_Asymmetric,Short,50,3.5,4.0,60013,28295,31373,0.47148117907786646,10225733.25939126,10611854.968573455,-386121.70918219653,0.9636141173879894,361.39718181273224,338.248014808066,1.0684384415908603,-372072.32999794424
52,Fixed_ATR_Asymmetric,Short,30,3.0,6.0,60033,24780,34896,0.4127729748638249,10740738.275321264,11143360.133119201,-402621.8577979371,0.9638689001353098,433.44383677648364,319.3305861164375,1.35735145839878,-388074.68724613276
53,Fixed_ATR_Asymmetric,Short,30,3.0,5.0,60033,25481,34202,0.4244498858960905,10546383.959706742,10972530.940931818,-426146.98122507415,0.96116238053744,413.892074867813,320.81547689994204,1.2901250241019397,-409596.44693313603
54,Fixed_ATR_Asymmetric,Short,30,3.0,3.0,60033,29484,30299,0.49112987856678825,9589438.797056854,10018079.094790641,-428640.29773378524,0.9572133246625415,325.2421244423027,330.6405853259395,0.9836727216100374,-410300.2044780982
55,Fixed_ATR_Asymmetric,Short,30,3.0,4.0,60033,26865,32853,0.44750387286992155,10222188.128879834,10653306.909652876,-431118.7807730408,0.9595319289654174,380.50207068229423,324.2719663243197,1.1734041489782565,-413672.2353283747
56,Fixed_ATR_Asymmetric,Short,14,2.5,5.0,60081,24227,35534,0.4032389607363393,10612841.034695828,11043641.331262354,-430800.2965665272,0.9609911003405176,438.05840734287483,310.7908293820666,1.409495924361248,-413995.2510244883
57,Fixed_ATR_Asymmetric,Short,50,3.5,5.0,60013,26729,32909,0.4453868328528819,10588909.08383692,11025201.794010442,-436292.7101735216,0.9604276893679586,396.1580711525654,335.02086948890707,1.1824877410082737,-419027.5995200398
58,Fixed_ATR_Asymmetric,Short,14,2.5,4.0,60081,25349,34436,0.42191374977114227,10387688.220687106,10825379.419759668,-437691.1990725637,0.959568050033088,409.7869036524954,314.36227842257136,1.3035498588086087,-419994.49041070405
59,Fixed_ATR_Asymmetric,Short,50,3.5,6.0,60013,25866,33753,0.4310066152333661,10802857.46010939,11247172.491407234,-444315.0312978426,0.960495401698756,417.64700611263396,333.21993575111054,1.2533674048379384,-426762.5444672167
60,Fixed_ATR_Asymmetric,Short,20,3.0,3.0,60058,29494,30301,0.49109194445369475,10074743.83651629,10535480.04345646,-460736.20694016956,0.9562681334842137,341.58621538334205,347.69413694123824,0.9824330613923223,-440587.35263927234
61,Fixed_ATR_Asymmetric,Short,20,3.0,4.0,60058,27075,32654,0.4508142129275034,10643975.154728938,11119254.70040423,-475279.54567529424,0.957256168827753,393.12927625960987,340.51738532505146,1.1545057409751225,-454964.2770153272
62,Fixed_ATR_Asymmetric,Short,20,3.0,6.0,60058,25160,34528,0.41892836924306504,11072725.075552845,11547851.76646509,-475126.69091224443,0.958855837386828,440.09241158795095,334.4489042650918,1.315873384471081,-455578.00107949274
