Rank,StrategyName,SignalType,ATRPeriod,InitialStopMultiplier,BETrigger,TargetMultiplier,TotalTrades,WinningTrades,LosingTrades,WinRate,TotalProfit,TotalLoss,NetProfit,ProfitFactor,AvgWin,AvgLoss,AvgWinLossRatio,SystemScore,BreakevenTriggeredPct,AvgBarsInTrade
12,ATR_Breakeven_Stop,Short,30,2.0,3.0,7.0,60033,16920,34681,0.281844985258108,8115062.411716243,8308062.804772167,-193000.39305592404,0.9767695072135151,479.61361771372594,239.5566103852878,2.0020888463163073,-188516.89881724963,35.96855063048657,14.442306731297787
13,ATR_Breakeven_Stop,Short,30,2.0,3.5,5.0,60033,19235,36144,0.3204071094231506,8404522.917398904,8600483.19241059,-195960.27501168562,0.9772152016779,436.9390651104187,237.95050886483483,1.8362602677122961,-191495.3596664011,30.956307364282974,13.58367897656289
14,ATR_Breakeven_Stop,Short,30,2.0,4.0,4.0,60033,21846,37263,0.3638998550797062,8602222.066226274,8806392.449097164,-204170.38287089203,0.9768156615718594,393.76645913330924,236.33074226705213,1.66616689541116,-199436.82761741022,26.34550996951677,12.62952043042993
15,ATR_Breakeven_Stop,Short,30,2.0,3.0,6.0,60033,17332,34681,0.2887078773341329,8072199.02265649,8308062.804772167,-235863.7821156782,0.9716102552835547,465.7396158929431,239.5566103852878,1.9441735093173875,-229167.6695535588,35.96855063048657,13.961337930804724
16,ATR_Breakeven_Stop,Short,30,2.0,3.5,4.0,60033,21080,36144,0.3511402062199124,8350112.101520736,8600483.19241059,-250371.09088985235,0.9708887180768179,396.11537483494953,237.95050886483483,1.6646964813172915,-243082.4674775432,30.956307364282974,12.43302850099112
17,ATR_Breakeven_Stop,Short,30,2.0,3.0,5.0,60033,18146,34681,0.30226708643579364,8021332.1868645325,8308062.804772167,-286730.6179076357,0.9654876684679207,442.0440971489327,239.5566103852878,1.8452594417577404,-276834.8757620094,35.96855063048657,13.22962370696117
18,ATR_Breakeven_Stop,Short,30,2.0,2.5,10.0,60033,15009,32693,0.25001249312877916,7596628.272543836,7903722.024839407,-307093.75229557185,0.9611456790445752,506.1382019151067,241.7557894607227,2.093592889932993,-295161.83308047394,41.648759848749854,14.373461262972032
19,ATR_Breakeven_Stop,Short,30,2.0,2.5,8.0,60033,15246,32693,0.2539603218229973,7575230.536807183,7903722.024839407,-328491.488032224,0.9584383804238233,496.86675434915276,241.7557894607227,2.0552424223531456,-314838.8497726165,41.648759848749854,14.064464544500524
20,ATR_Breakeven_Stop,Short,30,2.0,3.0,4.0,60033,19911,34681,0.3316675828294438,7974140.4579310445,8308062.804772167,-333922.3468411232,0.9598074358983761,400.48919983582164,239.5566103852878,1.6717935655864389,-320501.1515107467,35.96855063048657,12.109856245731514
21,ATR_Breakeven_Stop,Short,30,2.0,2.5,7.0,60033,15441,32693,0.2572085353055819,7539630.502416796,7903722.024839407,-364091.5224226113,0.9539341690815589,488.2864129536167,241.7557894607227,2.0197506502029277,-347319.3439118535,41.648759848749854,13.779371345759833
