Symbol,Total_PnL,Avg_PnL,Trade_Count,Strategy
BAX,-373.21713333332445,-23.32607083333278,16,LONG
BBD,-470.1333500000037,-22.38730238095256,21,LONG
BBY,850.8194666666677,27.44578924731186,31,LONG
BDX,1321.9053666666514,35.72717207207166,37,LONG
BEN,1067.3388833333374,38.11924583333348,28,LONG
BG,2493.9494999999442,57.99882558139405,43,LONG
BHC,33.2603166667177,0.5734537356330638,58,LONG
BIDU,3603.1891833333357,72.06378366666671,50,LONG
BIIB,-92.01769999989483,-1.7040314814795339,54,LONG
BK,1330.7883333332647,18.22997716894883,73,LONG
BKNG,2611.632333333364,124.3634444444459,21,LONG
BKR,672.5214166666701,13.186694444444512,51,LONG
BLDR,-1060.524633333349,-40.789408974359574,26,LONG
BLK,2435.179333333377,86.97069047619205,28,LONG
BMO,940.9075666666613,28.512350505050343,33,LONG
BMY,-1874.0252999999866,-37.480505999999735,50,LONG
BNS,502.30013333338866,8.812283040936643,57,LONG
BOOT,3030.019616666599,68.86408219696817,44,LONG
BP,1181.169483333324,25.677597463767913,46,LONG
BR,1327.2737999999808,51.04899230769157,26,LONG
BRO,1067.395466666654,66.71221666666588,16,LONG
BSX,97.55379999998695,1.8406377358488104,53,LONG
BX,-1050.8467666667275,-23.35215037037172,45,LONG
BXP,3476.701600000015,108.64692500000046,32,LONG
BYD,302.3413333332719,7.752341880340305,39,LONG
BYND,-14042.538416666663,-702.1269208333331,20,LONG
BZH,-902.0716666666849,-128.86738095238357,7,LONG
BZUN,8148.640483333293,428.87581491227854,19,LONG
C,-180.87065000001166,-2.6598625000001714,68,LONG
CAG,1143.331166666605,71.45819791666281,16,LONG
CAH,3162.3407166666293,70.27423814814732,45,LONG
CAR,-2850.10170000005,-67.85956428571548,42,LONG
CARR,-1636.376083333329,-65.45504333333317,25,LONG
CAT,1905.5693833333426,19.44458554421778,98,LONG
CB,809.8104833334073,12.854134656085831,63,LONG
CBRE,1069.390783333285,33.41846197916516,32,LONG
CCEP,-1165.551549999931,-27.751227380950738,42,LONG
CCI,-91.93853333334846,-3.997327536232542,23,LONG
CCL,129.71301666667568,4.053531770833615,32,LONG
CDNS,4284.105216666663,107.10263041666659,40,LONG
CDW,88.6603833333138,2.8600123655907677,31,LONG
CEG,-5907.595333333338,-92.30617708333341,64,LONG
CF,-2465.3140000000058,-79.52625806451631,31,LONG
CFG,1081.4629166666928,37.291824712644576,29,LONG
CGC,2732.3662666666933,182.15775111111287,15,LONG
CGNX,-1823.2368833333749,-42.40085775193895,43,LONG
CHD,-2947.3676333333933,-184.21047708333708,16,LONG
CHRW,25035.51834999994,641.9363679487165,39,LONG
CHTR,-1506.8571666666685,-45.66233838383844,33,LONG
CI,494.7294666667076,26.038392982458294,19,LONG
CINF,2927.4064999999464,139.40030952380698,21,LONG
CLX,-379.81394999998156,-18.99069749999908,20,LONG
CMCSA,996.8497666667099,39.8739906666684,25,LONG
CME,818.4683166665855,18.601552651513305,44,LONG
CMG,-80.41335000002437,-4.467408333334687,18,LONG
CMI,13.525083333282964,0.3756967592578601,36,LONG
CMS,349.83658333333733,9.717682870370481,36,LONG
CNC,934.708483333321,20.771299629629357,45,LONG
CNP,818.3226166666864,31.473946794872553,26,LONG
CNQ,-1716.824533333347,-31.7930469135805,54,LONG
COF,1547.352566666661,44.21007333333317,35,LONG
COIN,1458.605683333306,40.51682453703628,36,LONG
COO,1725.9481666667052,57.531605555556844,30,LONG
COP,140.61706666670216,2.812341333334043,50,LONG
COR,4128.653666666716,67.68284699453633,61,LONG
COST,-2457.3831000000573,-59.936173170733106,41,LONG
CPAY,1201.6045666666905,66.75580925926059,18,LONG
CPB,1740.1236666666737,62.14727380952406,28,LONG
CPRT,464.63849999999366,22.125642857142555,21,LONG
CPT,112.99321666666947,5.649660833333473,20,LONG
CRL,5766.216050000039,180.19425156250122,32,LONG
CRM,1311.3956666667364,29.804446969698553,44,LONG
CRON,4288.583083333309,158.83641049382626,27,LONG
CRWD,502.56710000008025,8.518086440679326,59,LONG
CSCO,441.57423333344923,7.009114814816654,63,LONG
CSGP,348.4059999999663,10.557757575756554,33,LONG
CSIQ,2343.877333333243,37.20440211640068,63,LONG
CSX,3680.0110999999597,60.32805081967147,61,LONG
CTAS,-893.0001166666698,-55.81250729166686,16,LONG
CTRA,-515.6146000000299,-19.096837037038146,27,LONG
CTSH,2879.8566999999166,77.83396486486261,37,LONG
CTVA,-1889.6252333333105,-60.955652688171305,31,LONG
CVS,-2294.1034500000023,-43.28497075471702,53,LONG
CVX,-2057.9861499999897,-33.73747786885229,61,LONG
D,-709.146033333338,-20.26131523809537,35,LONG
DAL,237.05608333336568,8.779854938272804,27,LONG
DASH,-998.0180333333046,-14.056592018778938,71,LONG
DAY,483.4842000000426,15.596264516130407,31,LONG
DD,1271.2692666666917,74.78054509804069,17,LONG
DDOG,3829.9297166666,61.773059946235485,62,LONG
DE,-121.69431666672608,-4.680550641027926,26,LONG
DECK,-2146.665766666658,-55.04271196581174,39,LONG
DELL,3078.211350000034,71.58631046511708,43,LONG
DG,-532.1161833333681,-20.466007051283388,26,LONG
DGX,2527.781333333318,54.9517681159417,46,LONG
DHI,3432.3120333333354,62.40567333333337,55,LONG
DHR,-25.861716666688153,-0.517234333333763,50,LONG
DIA,256.1029166667213,5.9558817829470065,43,LONG
DIS,4967.774616666662,112.90396856060596,44,LONG
DLR,766.9135666666989,42.60630925926105,18,LONG
DLTR,2153.005833333358,41.40395833333381,52,LONG
DOC,-1804.8375666666761,-62.235778160919864,29,LONG
DOV,-159.06111666664947,-8.37163771929734,19,LONG
DOW,-425.8148500000243,-17.032594000000973,25,LONG
DPZ,-817.6954000000114,-32.707816000000456,25,LONG
DRI,-469.1079833333715,-21.323090151516887,22,LONG
DTE,610.2171500000113,21.041970689655564,29,LONG
DUK,755.382366666694,16.421355797102045,46,LONG
DUST,-2117.0579666666745,-66.15806145833358,32,LONG
DVA,1740.5827666666446,96.69904259259137,18,LONG
DVN,3398.923266666643,91.86279099099035,37,LONG
DXCM,2773.0450333333356,77.02902870370377,36,LONG
EA,1330.1734833334194,18.474631712964158,72,LONG
EBAY,3112.903816666716,44.47005452381023,70,LONG
ECL,-30.138833333279763,-0.9722204301057988,31,LONG
ED,-1454.9675666666226,-60.623648611109274,24,LONG
EDIT,4116.987133333358,91.4886029629635,45,LONG
EEM,-42.20463333326188,-1.2413127450959376,34,LONG
EFA,22.758266666663985,0.9482611111109994,24,LONG
EFX,390.90666666670586,14.478024691359476,27,LONG
EG,623.7729000000254,77.97161250000318,8,LONG
EIX,1530.0452833333038,49.35629946236464,31,LONG
EL,125.90046666667331,3.815165656565858,33,LONG
ELV,1069.8890166666679,25.473548015873046,42,LONG
EMB,225.9590833333932,3.182522300470327,71,LONG
EME,1174.5794499999029,65.25441388888349,18,LONG
EMR,1515.0779333333703,44.5611156862756,34,LONG
ENB,204.0141166667745,3.138678717950377,65,LONG
EOG,4271.162966666649,74.93268362573068,57,LONG
EPAM,5365.398066666698,243.8817303030317,22,LONG
EQIX,160.78411666664033,9.457889215684725,17,LONG
EQR,-252.94295000001148,-14.878997058824204,17,LONG
EQT,3392.1843333333163,72.17413475177268,47,LONG
ERIE,-3255.371833333287,-465.0531190476125,7,LONG
ESS,-1655.0936333333666,-118.22097380952619,14,LONG
ETN,-682.9542999999758,-16.65742195121892,41,LONG
ETR,-537.3610833333441,-17.912036111111473,30,LONG
EVRG,-608.3515333332834,-14.14771007751822,43,LONG
EW,5036.304583333309,100.72609166666618,50,LONG
EWG,132.7962166666548,6.989274561402884,19,LONG
EWZ,-951.6703666667527,-19.826465972224014,48,LONG
EXAS,6854.881750000051,126.94225462963058,54,LONG
EXC,-406.07105000003503,-10.686080263158816,38,LONG
EXE,3411.658666666641,94.76829629629557,36,LONG
EXPD,5148.987083333319,139.16181306306268,37,LONG
EXPE,-3751.5411000000095,-61.50067377049196,61,LONG
EXR,-265.2015000000247,-10.608060000000988,25,LONG
F,148.27733333332435,6.7398787878783795,22,LONG
FANG,2588.372699999971,55.071759574467464,47,LONG
FAST,-1276.918733333383,-45.60424047619225,28,LONG
FCEL,3806.231866666669,118.9447458333334,32,LONG
FCX,4754.626783333311,115.96650691056857,41,LONG
FDS,1904.7966999999771,190.47966999999772,10,LONG
